Time, Marker
1690483.814693, CalValue:0.97686
1690483.843310, CalValue:0.96982
1690483.869722, CalValue:0.87354
1690483.896301, CalValue:0.88443
1690483.928682, CalValue:0.96268
1690483.956688, CalValue:0.96519
1690483.983373, CalValue:0.95077
1690484.009879, CalValue:1.0282
1690484.036582, CalValue:1.1224
1690484.063005, CalValue:1.1411
1690484.094388, CalValue:1.1268
1690484.123548, CalValue:1.1431
1690484.150004, CalValue:1.1327
1690484.178436, CalValue:1.1974
1690484.204901, CalValue:1.2188
1690484.231198, CalValue:1.208
1690484.260412, CalValue:1.2521
1690484.293276, CalValue:1.195
1690484.322571, CalValue:1.1561
1690484.349649, CalValue:1.095
1690484.376287, CalValue:0.96083
1690484.405400, CalValue:0.94611
1690484.431909, CalValue:1.08
1690484.459784, CalValue:1.1844
1690484.492103, CalValue:1.1623
1690484.518599, CalValue:0.90037
1690484.545685, CalValue:0.90955
1690484.572256, CalValue:0.90597
1690484.598767, CalValue:0.97865
1690484.628722, CalValue:0.996
1690484.656398, CalValue:1.0559
1690484.682755, CalValue:1.1846
1690484.710080, CalValue:1.2206
1690484.737136, CalValue:1.1563
1690484.763521, CalValue:1.0322
1690484.792870, CalValue:1.0469
1690484.822997, CalValue:1.0717
1690484.849950, CalValue:1.1685
1690484.876315, CalValue:1.1329
1690484.902691, CalValue:1.1476
1690484.930589, CalValue:1.2405
1690484.960444, CalValue:1.2047
1690484.993346, CalValue:1.2048
1690485.026188, CalValue:1.2081
1690485.055231, CalValue:1.2461
1690485.081724, CalValue:1.2255
1690485.109902, CalValue:1.3002
1690485.139024, CalValue:1.2793
1690485.165368, CalValue:1.3118
1690485.192680, CalValue:1.3041
1690485.222509, CalValue:1.2967
1690485.248799, CalValue:1.43
1690485.276668, CalValue:1.4403
1690485.302996, CalValue:1.4152
1690485.329289, CalValue:1.3662
1690485.356517, CalValue:1.3483
1690485.382983, CalValue:1.404
1690485.409590, CalValue:1.4964
1690485.436100, CalValue:1.5196
1690485.462538, CalValue:1.5234
1690485.494295, CalValue:1.4759
1690485.526624, CalValue:1.4964
1690485.555422, CalValue:1.4606
1690485.582132, CalValue:1.4864
1690485.611122, Start_Intro_Open_Eyes
1690488.611447, Stop_Intro_Open_Eyes
1690488.637819, Start_Open_Eyes
1690498.659800, Stop_Open_Eyes
1690498.983427, Start_Intro_Close_Eyes
1690501.706365, Stop_Intro_Close_Eyes
1690501.732553, Start_Close_Eyes
1690511.761268, Stop_Close_Eyes
1690512.089889, System_Close
